day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/9/3,Aztec Connect,584,251.8438731,0,251.8438731,251.8438731,125,313957.5472,252216.2495,61741.29777,566173.7967
2022/9/4,Aztec Connect,677,321.1741437,0,321.1741437,321.1741437,140,336515.2536,93017.95819,243497.2954,429533.2118
2022/9/5,Aztec Connect,494,395.5252886,0,395.5252886,395.5252886,120,141321.697,425984.9847,-284663.2877,567306.6817
2022/9/6,Aztec Connect,355,158.3780208,0,158.3780208,158.3780208,59,73269.42254,73129.48973,139.9328051,146398.9123
2022/9/7,Aztec Connect,231,140.8669419,0,140.8669419,140.8669419,49,48115.56675,63642.66407,-15527.09732,111758.2308
2022/9/8,Aztec Connect,288,173.8610539,0,173.8610539,173.8610539,33,50125.98225,48283.69587,1842.286383,98409.67811
2022/9/9,Aztec Connect,229,139.7286124,0,139.7286124,139.7286124,53,34424.10945,46721.83234,-12297.72289,81145.94179
2022/9/10,Aztec Connect,282,210.2678307,0,210.2678307,210.2678307,65,85848.17884,85726.34197,121.8368682,171574.5208
2022/9/11,Aztec Connect,479,190.3581006,0,190.3581006,190.3581006,101,177832.5567,135751.9418,42080.61494,313584.4986
2022/9/12,Aztec Connect,286,190.9287853,0,190.9287853,190.9287853,69,73887.17306,122215.3015,-48328.12848,196102.4746
2022/9/13,Aztec Connect,323,191.3384704,0,191.3384704,191.3384704,41,33274.18081,80304.95629,-47030.77548,113579.1371
2022/9/14,Aztec Connect,345,222.4295369,0,222.4295369,222.4295369,49,45622.39057,68771.43572,-23149.04515,114393.8263
2022/9/15,Aztec Connect,199,102.1575949,0,102.1575949,102.1575949,57,155852.966,72198.01355,83654.9525,228050.9796
2022/9/16,Aztec Connect,387,344.2313943,0,344.2313943,344.2313943,52,38175.72379,100717.5663,-62541.84254,138893.2901
2022/9/17,Aztec Connect,581,542.3129518,0,542.3129518,542.3129518,337,1.05E+06,143271.9279,909494.756,1.20E+06
2022/9/18,Aztec Connect,521,246.7932457,0,246.7932457,246.7932457,313,102436.6242,282802.7499,-180366.1256,385239.3741
2022/9/19,Aztec Connect,421,280.6224556,0,280.6224556,280.6224556,144,100104.0636,143685.7559,-43581.6923,243789.8195
2022/9/20,Aztec Connect,390,457.1628162,0,457.1628162,457.1628162,115,68630.35495,175649.8453,-107019.4904,244280.2002
2022/9/21,Aztec Connect,415,334.0066578,0,334.0066578,334.0066578,122,86693.71961,66517.37363,20176.34597,153211.0932
2022/9/22,Aztec Connect,427,299.0312401,0,299.0312401,299.0312401,158,101789.6564,80990.45343,20799.20292,182780.1098
2022/9/23,Aztec Connect,311,166.8132068,0,166.8132068,166.8132068,150,150781.222,56759.41591,94021.80612,207540.6379
2022/9/24,Aztec Connect,471,232.8371291,0,232.8371291,232.8371291,214,101901.5601,74426.43711,27475.123,176327.9972
2022/9/25,Aztec Connect,340,177.6524366,0,177.6524366,177.6524366,130,87145.81161,80196.87693,6948.93468,167342.6885
2022/9/26,Aztec Connect,314,139.5494512,0,139.5494512,139.5494512,137,66204.31572,102989.6947,-36785.37897,169194.0104
2022/9/27,Aztec Connect,221,114.159844,0,114.159844,114.159844,91,92919.08354,89776.01852,3143.065026,182695.1021
2022/9/28,Aztec Connect,281,146.3991597,0,146.3991597,146.3991597,198,98441.26932,69006.49242,29434.7769,167447.7617
2022/9/29,Aztec Connect,294,189.5937657,0,189.5937657,189.5937657,91,43939.84615,48409.96681,-4470.120657,92349.81296
2022/9/30,Aztec Connect,219,99.4008935,0,99.4008935,99.4008935,136,193403.9966,76378.56074,117025.4358,269782.5573
2022/10/1,Aztec Connect,424,410.9757323,0,410.9757323,410.9757323,155,134176.3331,107830.7044,26345.62865,242007.0375
2022/10/2,Aztec Connect,439,256.8655687,0,256.8655687,256.8655687,124,79683.17677,62717.64097,16965.5358,142400.8177
